OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Sales,Total Cost,Profit,Year,Month,Profit Margin (%)
SO - 000118,In-Store,WARE-XYS1001,2018-04-10,2018-06-01,2018-06-06,2018-06-14,USD,8,30,21,3,4,0.1,393.96,984.9,3545.64,1575.84,1969.8,2018,June,55.55555555555556
SO - 000119,In-Store,WARE-MKL1006,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,5,5,349,20,4,0.1,4130.01,5581.1,20091.960000000003,16520.04,3571.920000000002,2018,June,17.777857411621373
SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-11,2018-06-17,USD,14,23,134,24,4,0.05,1795.33,3095.4,11762.52,7181.32,4581.200000000001,2018,June,38.94743643368939
SO - 000121,Wholesale,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-18,2018-06-20,USD,25,46,193,33,4,0.4,1754.06,2278.0,5467.2,7016.24,-1549.04,2018,June,-28.333333333333332
SO - 000122,In-Store,WARE-PUJ1005,2018-04-10,2018-06-02,2018-06-10,2018-06-16,USD,2,14,282,1,7,0.08,654.46,991.6,6385.904,4581.22,1804.6840000000002,2018,June,28.260431099496643
SO - 000123,In-Store,WARE-XYS1001,2018-04-10,2018-06-02,2018-06-26,2018-06-28,USD,7,40,20,35,2,0.2,3064.45,3979.8,6367.68,6128.9,238.78000000000065,2018,June,3.749874365546017
SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-22,2018-07-02,USD,24,19,218,15,3,0.4,866.71,1969.8,3545.64,2600.13,945.5099999999998,2018,June,26.666835888584284
SO - 000125,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-16,2018-06-24,USD,4,15,173,13,1,0.15,131.32,268.0,227.79999999999998,131.32,96.47999999999999,2018,June,42.35294117647059
SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,USD,18,46,110,24,7,0.1,95.81,174.2,1097.4599999999998,670.6700000000001,426.78999999999974,2018,June,38.88888888888887
SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-26,2018-07-06,USD,7,32,229,46,3,0.08,2510.09,2988.2,8247.431999999999,7530.27,717.1619999999984,2018,June,8.695579423995234
SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-20,2018-06-29,USD,9,32,238,36,4,0.05,2679.93,3999.9,15199.619999999999,10719.72,4479.9,2018,June,29.473763159868472
SO - 000129,Distributor,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-21,2018-06-22,USD,20,22,97,37,3,0.05,2450.32,5976.4,17032.739999999998,7350.960000000001,9681.779999999997,2018,June,56.84217571570985
SO - 000130,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-27,2018-06-29,USD,8,5,103,32,5,0.1,2378.9,2901.1,13054.95,11894.5,1160.4500000000007,2018,June,8.888965488186479
SO - 000131,In-Store,WARE-PUJ1005,2018-04-10,2018-06-03,2018-06-26,2018-07-05,USD,8,29,305,23,7,0.08,2734.61,6076.9,39135.236,19142.27,19992.965999999997,2018,June,51.08686708826797
SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-06-03,2018-06-05,2018-06-10,USD,13,35,303,14,7,0.2,4186.7,5735.2,32117.120000000003,29306.899999999998,2810.220000000005,2018,June,8.749912819082173
SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-30,2018-07-10,USD,19,46,217,7,3,0.1,2077.34,3919.5,10582.65,6232.02,4350.629999999999,2018,June,41.11096936967583
SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-30,2018-07-05,USD,17,42,362,46,1,0.05,3832.67,6083.6,5779.42,3832.67,1946.75,2018,June,33.68417592076713
SO - 000135,Wholesale,WARE-MKL1006,2018-04-10,2018-06-03,2018-06-14,2018-06-15,USD,26,2,335,40,5,0.08,1642.3,2566.1,11804.060000000001,8211.5,3592.5600000000013,2018,June,30.434952041924568
SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-06-03,2018-06-07,2018-06-13,USD,22,28,84,38,2,0.08,1093.44,2278.0,4191.52,2186.88,2004.6400000000003,2018,June,47.82608695652174
SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-14,2018-06-21,USD,7,46,256,1,1,0.08,120.2,261.3,240.39600000000002,120.2,120.19600000000001,2018,June,49.99916803940165
SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-28,2018-07-08,USD,12,22,360,17,8,0.05,698.81,998.3,7587.079999999999,5590.48,1996.5999999999995,2018,June,26.31578947368421
SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-13,2018-06-21,USD,4,34,90,40,6,0.2,1958.54,3497.4,16787.52,11751.24,5036.280000000001,2018,June,30.0001429633442
SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-06-03,2018-06-18,2018-06-28,USD,9,26,196,25,4,0.05,486.89,1132.3,4302.74,1947.56,2355.18,2018,June,54.73674914124488
SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-06-03,2018-06-15,2018-06-17,USD,7,26,40,2,7,0.05,1587.5,2405.3,15995.245,11112.5,4882.745000000001,2018,June,30.526228263462052
SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-24,2018-07-03,USD,24,24,367,3,8,0.05,3249.97,5701.7,43332.92,25999.76,17333.16,2018,June,39.99998153828545
SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-09,2018-06-16,USD,25,18,249,34,1,0.2,1446.8,2452.2,1961.76,1446.8,514.96,2018,June,26.249898050729957
SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-30,2018-07-04,USD,11,21,6,11,3,0.05,2012.01,3095.4,8821.89,6036.03,2785.8599999999997,2018,June,31.57894736842105
SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-06-04,2018-06-12,2018-06-14,USD,15,14,212,8,4,0.4,2164.9,3865.9,9278.16,8659.6,618.5599999999995,2018,June,6.666839114652038
SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-10,2018-06-15,USD,23,3,37,11,8,0.1,1382.88,2304.8,16594.56,11063.04,5531.52,2018,June,33.33333333333333
SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-06-04,2018-06-21,2018-06-24,USD,17,13,38,35,3,0.05,1470.11,3195.9,9108.315,4410.33,4697.985000000001,2018,June,51.57907911617022
SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-06-04,2018-06-19,2018-06-26,USD,18,49,294,33,7,0.05,5161.68,6452.1,42906.465000000004,36131.76,6774.705000000002,2018,June,15.789473684210527
SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-06-05,2018-06-14,2018-06-17,USD,24,4,105,16,3,0.3,921.52,2003.3,4206.929999999999,2764.56,1442.3699999999994,2018,June,34.28557166389742
SO - 000150,Distributor,WARE-XYS1001,2018-04-10,2018-06-05,2018-06-28,2018-07-07,USD,23,20,17,8,8,0.05,1455.24,3638.1,27649.559999999998,11641.92,16007.639999999998,2018,June,57.89473684210525
SO - 000151,In-Store,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-14,2018-06-17,USD,4,19,109,44,3,0.08,1822.4,2278.0,6287.280000000001,5467.200000000001,820.0799999999999,2018,June,13.043478260869563
SO - 000152,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-25,2018-06-29,USD,16,25,141,22,6,0.3,582.5,924.6,3883.32,3495.0,388.32000000000016,2018,June,9.999690986063476
SO - 000153,Online,WARE-NMK1003,2018-04-10,2018-06-05,2018-06-21,2018-07-01,USD,19,8,111,16,5,0.05,3062.44,3926.2,18649.45,15312.2,3337.25,2018,June,17.89462960033674
SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-06-05,2018-06-12,2018-06-18,USD,23,24,349,25,4,0.08,2257.16,3825.7,14078.576,9028.64,5049.936,2018,June,35.86965045328448
SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-06-05,2018-07-03,2018-07-08,USD,27,13,360,4,3,0.05,1377.32,2257.9,6435.015,4131.96,2303.0550000000003,2018,June,35.78942706427258
SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-06-06,2018-07-02,2018-07-08,USD,24,32,148,33,8,0.08,756.3,1112.2,8185.792,6050.4,2135.3920000000007,2018,June,26.086565600494133
SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-06,2018-06-22,2018-06-23,USD,19,28,103,45,8,0.05,1814.43,3557.7,27038.519999999997,14515.44,12523.079999999996,2018,June,46.315700711429464
SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-06-09,2018-06-12,USD,13,8,59,45,3,0.4,1233.34,2371.8,4269.24,3700.0199999999995,569.2200000000003,2018,June,13.33305225286
SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-06-06,2018-07-01,2018-07-04,USD,14,47,60,1,1,0.4,686.08,857.6,514.56,686.08,-171.5200000000001,2018,June,-33.33333333333336
SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-06-07,2018-06-14,2018-06-16,USD,11,33,238,20,5,0.3,2880.6,3892.7,13624.449999999999,14403.0,-778.5500000000011,2018,June,-5.714359111743969
SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-13,2018-06-15,USD,3,26,151,21,6,0.08,1390.92,3477.3,19194.696000000004,8345.52,10849.176000000003,2018,June,56.52173913043479
SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-06-07,2018-06-11,2018-06-21,USD,13,20,152,44,5,0.1,2803.95,3738.6,16823.7,14019.75,2803.9500000000007,2018,June,16.66666666666667
SO - 000163,Online,WARE-PUJ1005,2018-04-10,2018-06-07,2018-06-10,2018-06-13,USD,20,6,262,8,5,0.3,589.6,1072.0,3751.9999999999995,2948.0,803.9999999999995,2018,June,21.42857142857142
SO - 000164,In-Store,WARE-NMK1003,2018-04-10,2018-06-07,2018-07-01,2018-07-02,USD,5,40,120,46,7,0.05,1761.16,2257.9,15015.035,12328.12,2686.914999999999,2018,June,17.894830081981155
SO - 000165,Online,WARE-UHY1004,2018-04-10,2018-06-07,2018-06-11,2018-06-13,USD,18,23,233,46,3,0.1,751.61,1058.6,2858.22,2254.83,603.3899999999999,2018,June,21.110691269391438
SO - 000166,Online,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-15,2018-06-25,USD,13,38,77,39,4,0.1,1296.05,2492.4,8972.640000000001,5184.2,3788.4400000000014,2018,June,42.22213306228714
SO - 000167,In-Store,WARE-NBV1002,2018-04-10,2018-06-07,2018-06-13,2018-06-21,USD,4,30,69,11,5,0.05,2465.6,3852.5,18299.375,12328.0,5971.375,2018,June,32.631578947368425
SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-06-08,2018-06-19,2018-06-25,USD,23,42,215,37,8,0.05,132.66,241.2,1833.12,1061.28,771.8399999999999,2018,June,42.10526315789473
SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-06-08,2018-06-11,2018-06-17,USD,9,1,30,35,2,0.15,494.39,1051.9,1788.23,988.78,799.45,2018,June,44.70621788025031
SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-06-08,2018-06-14,2018-06-19,USD,25,11,169,10,5,0.3,107.07,227.8,797.3,535.3499999999999,261.95000000000005,2018,June,32.85463439106987
SO - 000171,Distributor,WARE-MKL1006,2018-04-10,2018-06-08,2018-06-14,2018-06-15,USD,24,4,333,14,5,0.05,506.99,1078.7,5123.825,2534.95,2588.875,2018,June,50.52621820612531
SO - 000172,Wholesale,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-13,2018-06-20,USD,28,6,96,10,8,0.15,743.7,1005.0,6834.0,5949.6,884.3999999999996,2018,June,12.94117647058823
SO - 000173,Distributor,WARE-PUJ1005,2018-04-10,2018-06-08,2018-07-03,2018-07-09,USD,24,17,289,45,5,0.05,1317.42,2485.7,11807.074999999999,6587.1,5219.9749999999985,2018,June,44.21056866328027
SO - 000174,In-Store,WARE-NMK1003,2018-04-10,2018-06-08,2018-06-30,2018-07-06,USD,3,7,140,22,3,0.05,2154.52,2659.9,7580.715,6463.5599999999995,1117.1550000000007,2018,June,14.736802531159668
SO - 000175,In-Store,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-28,2018-07-03,USD,1,1,107,1,1,0.08,1579.32,2224.4,2046.448,1579.32,467.12800000000016,2018,June,22.82628241714425
SO - 000176,In-Store,WARE-MKL1006,2018-04-10,2018-06-09,2018-06-12,2018-06-16,USD,11,27,338,35,7,0.2,1260.87,2472.3,13844.880000000003,8826.09,5018.790000000003,2018,June,36.25015168062129
SO - 000177,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-06-23,2018-06-24,USD,5,33,232,15,5,0.05,799.24,1011.7,4805.575,3996.2,809.375,2018,June,16.842417400623237
SO - 000178,Wholesale,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,26,28,231,28,6,0.2,128.98,234.5,1125.6000000000001,773.8799999999999,351.72000000000025,2018,June,31.247334754797464
SO - 000179,Online,WARE-NMK1003,2018-04-10,2018-06-09,2018-06-14,2018-06-17,USD,13,42,158,11,4,0.08,143.72,261.3,961.5840000000001,574.88,386.70400000000006,2018,June,40.21531140285197
SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-06-09,2018-06-27,2018-07-01,USD,18,5,36,29,7,0.1,2844.69,4006.6,25241.58,19912.83,5328.75,2018,June,21.11100018303133
SO - 000181,In-Store,WARE-UHY1004,2018-04-10,2018-06-09,2018-07-05,2018-07-13,USD,3,10,206,28,7,0.05,866.65,1333.3,8866.445,6066.55,2799.8949999999995,2018,June,31.578552621710276
SO - 000182,In-Store,WARE-UHY1004,2018-04-10,2018-06-10,2018-07-07,2018-07-09,USD,10,34,255,15,5,0.05,90.45,167.5,795.625,452.25,343.375,2018,June,43.15789473684211
SO - 000183,Online,WARE-MKL1006,2018-04-10,2018-06-10,2018-06-28,2018-07-02,USD,14,23,336,27,7,0.08,1821.66,3195.9,20581.596,12751.62,7829.976000000001,2018,June,38.04358029377314
SO - 000184,Online,WARE-PUJ1005,2018-04-10,2018-06-10,2018-06-30,2018-07-05,USD,20,18,307,15,1,0.05,809.96,1051.9,999.3050000000001,809.96,189.34500000000003,2018,June,18.94766862969764
SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-06-10,2018-06-30,2018-07-03,USD,15,8,9,28,4,0.1,3540.62,5447.1,19609.56,14162.48,5447.080000000002,2018,June,27.777675786708123
SO - 000186,Online,WARE-NMK1003,2018-04-10,2018-06-10,2018-06-16,2018-06-24,USD,13,36,200,18,2,0.08,1973.15,3182.5,5855.8,3946.3,1909.5,2018,June,32.608695652173914
SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-06-11,2018-06-29,2018-07-01,USD,6,47,337,30,3,0.1,632.68,891.1,2405.9700000000003,1898.04,507.9300000000003,2018,June,21.111235800945156
SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-16,2018-06-19,USD,15,27,158,31,2,0.2,2724.89,3892.7,6228.32,5449.78,778.54,2018,June,12.5
SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-06-11,2018-06-13,2018-06-16,USD,13,5,249,8,2,0.4,3360.05,3953.0,4743.599999999999,6720.1,-1976.500000000001,2018,June,-41.66666666666669
SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-06-11,2018-06-28,2018-07-07,USD,20,38,185,5,2,0.3,545.51,924.6,1294.44,1091.02,203.42000000000007,2018,June,15.714903742158775
SO - 000191,Online,WARE-NMK1003,2018-04-10,2018-06-11,2018-07-07,2018-07-08,USD,20,21,189,10,7,0.3,1989.63,3430.4,16808.96,13927.41,2881.5499999999993,2018,June,17.14294043176972
SO - 000192,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-28,2018-07-06,USD,22,24,170,43,7,0.08,622.3,1152.4,7421.456000000001,4356.099999999999,3065.3560000000016,2018,June,41.30397054162958
SO - 000193,Distributor,WARE-NMK1003,2018-04-10,2018-06-11,2018-06-21,2018-06-24,USD,21,25,130,37,4,0.1,922.59,1085.4,3907.4400000000005,3690.36,217.08000000000038,2018,June,5.555555555555564
SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-16,2018-06-22,USD,5,11,149,15,5,0.1,4025.36,5031.7,22642.65,20126.8,2515.850000000002,2018,June,11.11111111111112
SO - 000195,Distributor,WARE-NMK1003,2018-04-10,2018-06-12,2018-06-28,2018-07-03,USD,24,17,99,33,7,0.15,436.84,1092.1,6497.994999999999,3057.8799999999997,3440.1149999999993,2018,June,52.94117647058824
SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-06-12,2018-06-25,2018-06-27,USD,27,5,21,17,7,0.05,144.45,187.6,1247.54,1011.1499999999999,236.3900000000001,2018,June,18.948490629558982
SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-07-09,2018-07-16,USD,18,30,90,1,4,0.05,2835.17,3993.2,15174.159999999998,11340.68,3833.4799999999977,2018,June,25.263210615941826
SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-06-12,2018-06-15,2018-06-18,USD,14,9,360,15,5,0.05,1433.93,2472.3,11743.425,7169.650000000001,4573.774999999999,2018,June,38.94753872911863
SO - 000199,In-Store,WARE-XYS1001,2018-04-10,2018-06-12,2018-07-05,2018-07-14,USD,4,47,23,47,4,0.05,844.2,1206.0,4582.8,3376.8,1206.0,2018,June,26.31578947368421
SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-22,2018-06-29,USD,20,5,144,40,5,0.05,985.3,1728.6,8210.85,4926.5,3284.3500000000004,2018,June,40.00012179007046
SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-06-12,2018-06-20,2018-06-29,USD,28,23,134,23,7,0.08,1447.74,1983.2,12771.808,10134.18,2637.6280000000006,2018,June,20.651954680183106
SO - 000202,Online,WARE-NMK1003,2018-04-10,2018-06-12,2018-07-10,2018-07-14,USD,20,14,180,11,2,0.2,2656.55,5313.1,8500.960000000001,5313.1,3187.8600000000006,2018,June,37.5
SO - 000203,Distributor,WARE-XYS1001,2018-04-10,2018-06-12,2018-06-17,2018-06-25,USD,20,44,58,23,5,0.08,566.15,871.0,4006.6000000000004,2830.75,1175.8500000000004,2018,June,29.34782608695653
SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-27,2018-07-01,USD,12,38,175,43,2,0.1,2051.41,2532.6,4558.68,4102.82,455.8600000000006,2018,June,9.99982451060396
SO - 000205,Online,WARE-NMK1003,2018-04-10,2018-06-13,2018-06-25,2018-06-26,USD,14,14,95,1,4,0.08,4673.72,5916.1,21771.248000000003,18694.88,3076.368000000002,2018,June,14.130416409752907
SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-23,2018-07-01,USD,13,34,231,31,1,0.08,1443.85,2887.7,2656.6839999999997,1443.85,1212.8339999999998,2018,June,45.65217391304348
SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-20,2018-06-22,USD,1,13,199,11,7,0.1,1447.6,1855.9,11692.170000000002,10133.199999999999,1558.970000000003,2018,June,13.333453071585538
SO - 000208,In-Store,WARE-XYS1001,2018-04-10,2018-06-13,2018-06-17,2018-06-19,USD,2,5,58,39,5,0.1,135.01,207.7,934.65,675.05,259.6,2018,June,27.775102979725037
SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-13,2018-06-29,2018-07-06,USD,2,2,345,3,3,0.05,772.78,1058.6,3017.0099999999998,2318.34,698.6699999999996,2018,June,23.157695864448566
SO - 000210,Online,WARE-UHY1004,2018-04-10,2018-06-13,2018-07-03,2018-07-13,USD,13,17,241,20,7,0.1,517.37,958.1,6036.03,3621.59,2414.4399999999996,2018,June,40.000463881060895
SO - 000211,In-Store,WARE-NMK1003,2018-04-10,2018-06-13,2018-07-08,2018-07-18,USD,6,40,186,27,7,0.2,1675.74,2659.9,14895.44,11730.18,3165.26,2018,June,21.24985901725629
SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-07-05,2018-07-13,USD,7,15,144,8,3,0.1,1707.63,2217.7,5987.79,5122.89,864.8999999999996,2018,June,14.444394342486955
SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-17,2018-06-20,USD,20,12,40,11,1,0.3,857.6,1715.2,1200.6399999999999,857.6,343.03999999999985,2018,June,28.571428571428566
SO - 000214,In-Store,WARE-PUJ1005,2018-04-10,2018-06-14,2018-07-06,2018-07-09,USD,6,25,288,32,7,0.15,1691.15,3932.9,23400.754999999997,11838.050000000001,11562.704999999996,2018,June,49.41167496518808
SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,2018-06-20,USD,2,13,169,40,2,0.05,1909.5,2546.0,4837.4,3819.0,1018.3999999999996,2018,June,21.052631578947363
SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-14,2018-06-26,2018-07-01,USD,15,18,277,21,1,0.08,603.0,837.5,770.5,603.0,167.5,2018,June,21.73913043478261
SO - 000217,Online,WARE-UHY1004,2018-04-10,2018-06-14,2018-06-26,2018-07-05,USD,16,3,219,12,3,0.15,1302.48,1809.0,4612.95,3907.44,705.5099999999998,2018,June,15.294117647058819
SO - 000218,Wholesale,WARE-PUJ1005,2018-04-10,2018-06-14,2018-06-29,2018-07-03,USD,26,25,306,11,8,0.08,514.56,857.6,6311.936000000001,4116.48,2195.456000000001,2018,June,34.782608695652186
SO - 000219,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-30,2018-07-07,USD,8,11,7,22,6,0.05,1101.68,1748.7,9967.59,6610.08,3357.51,2018,June,33.68427072140808
SO - 000220,Wholesale,WARE-NBV1002,2017-12-31,2018-06-14,2018-06-16,2018-06-17,USD,28,44,78,4,1,0.08,582.5,1266.3,1164.996,582.5,582.4960000000001,2018,June,49.999828325590826
SO - 000221,In-Store,WARE-XYS1001,2017-12-31,2018-06-14,2018-06-16,2018-06-22,USD,3,30,28,9,5,0.1,3591.54,5058.5,22763.25,17957.7,4805.549999999999,2018,June,21.111001284965898
SO - 000222,Distributor,WARE-XYS1001,2018-04-10,2018-06-14,2018-06-28,2018-07-06,USD,22,38,39,6,7,0.05,795.22,958.1,6371.365,5566.54,804.8249999999998,2018,June,12.631908547069582
SO - 000223,Online,WARE-NMK1003,2017-12-31,2018-06-14,2018-07-10,2018-07-14,USD,19,47,122,2,8,0.15,756.97,1802.3,12255.64,6055.76,6199.879999999999,2018,June,50.58797418984239
SO - 000224,In-Store,WARE-XYS1001,2018-04-10,2018-06-15,2018-07-07,2018-07-16,USD,4,17,48,32,4,0.08,4534.56,6298.0,23176.64,18138.24,5038.399999999998,2018,June,21.7391304347826
SO - 000225,Online,WARE-XYS1001,2017-12-31,2018-06-15,2018-07-02,2018-07-06,USD,18,28,1,30,1,0.1,1824.34,2499.1,2249.19,1824.34,424.85000000000014,2018,June,18.889022270239515
SO - 000226,In-Store,WARE-NMK1003,2018-04-10,2018-06-15,2018-06-19,2018-06-23,USD,8,5,198,23,3,0.1,705.51,871.0,2351.7000000000003,2116.5299999999997,235.17000000000053,2018,June,10.000000000000021
SO - 000227,In-Store,WARE-UHY1004,2017-12-31,2018-06-15,2018-07-12,2018-07-18,USD,1,32,242,5,1,0.05,360.19,750.4,712.88,360.19,352.69,2018,June,49.4739647626529
